"","respid","cell","rweight","tv","radio","ooh","online","social","sp_aw","relv","laugh","think","recom","talk","purchase","intent","ID","cluster"
"1008",1531,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,1
"1009",1532,3,0.7051,0,1,0,0,0,0,1,1,1,1,1,0,1,1009,4
"1010",1535,3,1.5914,0,0,0,0,0,0,1,1,1,1,1,0,1,1010,1
"1011",1536,3,0.9227,1,0,0,0,0,0,1,1,1,1,0,0,1,1011,3
"1012",1537,3,0.7672,0,0,0,1,0,0,0,0,0,0,0,0,0,1012,5
"1013",1538,3,0.6695,1,0,0,0,0,0,1,1,1,1,0,0,0,1013,3
"1014",1539,3,0.6798,0,0,0,0,0,0,0,0,0,0,0,0,1,1014,1
"1015",1549,2,0.6657,0,0,0,0,1,0,0,0,0,1,1,1,0,1015,5
"1016",1550,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,1
"1017",1551,3,2.1227,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,1
"1018",1552,2,1.6295,0,0,0,0,0,0,0,0,1,1,0,0,1,1018,1
"1019",1554,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,1
"1020",1556,3,0.6695,0,1,1,1,1,0,1,0,1,1,1,1,1,1020,2
"1021",1559,3,0.8663,0,0,0,0,0,0,1,0,0,0,0,0,1,1021,1
"1022",1561,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,1
"1023",1562,2,0.9598,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,1
"1024",1564,1,1.2667,0,0,0,0,0,0,1,0,1,1,0,1,1,1024,1
"1025",1565,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,1
"1026",1566,2,1.1589,1,1,1,1,1,0,0,0,0,0,0,1,1,1026,2
"1027",1567,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,1
"1028",1570,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,1
"1029",1571,3,0.8028,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,1
"1030",1574,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,1
"1031",1574,4,0.516023646,1,1,1,0,1,0,1,1,1,1,1,1,1,1031,2
"1032",1575,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,1
"1033",1576,2,1.6295,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,1
"1034",1577,2,0.8488,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,1
"1035",1578,3,1.1773,0,1,0,1,1,0,0,1,1,1,1,1,1,1035,4
"1036",1581,2,1.9003,0,0,0,0,0,1,1,1,1,0,0,0,0,1036,1
"1037",1582,2,0.5832,0,0,0,0,0,0,0,0,0,0,0,0,1,1037,1
"1038",1583,3,1.1773,1,1,0,0,0,0,0,0,0,0,0,0,0,1038,4
"1039",1584,3,1.771,1,0,0,1,0,0,0,0,0,0,0,0,1,1039,5
"1040",1585,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,1
"1041",1586,2,0.6657,1,1,1,0,0,0,1,1,1,1,0,1,1,1041,2
"1042",1587,2,0.5832,0,0,0,0,0,0,0,0,0,0,0,0,1,1042,1
"1043",1588,3,0.7265,0,0,0,1,0,0,0,0,0,0,0,0,0,1043,5
"1044",1589,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,1
"1045",1590,4,1.514352138,0,0,0,0,0,0,1,1,0,1,0,0,0,1045,1
"1046",1591,2,0.7009,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,1
"1047",1595,1,0.9082,0,1,1,1,1,0,1,1,1,1,0,0,1,1047,2
"1048",1596,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1048,1
"1049",1597,2,1.6295,0,0,0,0,0,1,1,1,1,1,0,1,1,1049,1
"1050",1598,3,0.9227,0,0,0,1,0,0,1,1,1,1,1,0,1,1050,5
"1051",1602,3,1.1773,1,1,0,0,0,0,0,0,0,0,0,0,0,1051,4
"1052",1604,3,0.6798,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,1
"1053",1605,2,1.4057,0,0,0,0,0,0,1,1,1,1,0,1,1,1053,1
"1054",1606,3,1.771,1,0,1,1,1,0,0,0,0,0,0,0,1,1054,2
"1055",1607,3,0.6411,0,0,0,0,0,0,1,1,0,1,0,0,0,1055,1
"1056",1609,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,1
"1057",1611,3,0.7835,0,0,0,0,0,0,0,0,0,1,0,0,0,1057,1
"1058",1611,4,0.516023646,1,1,1,0,1,0,1,1,1,1,1,1,1,1058,2
"1059",1612,3,0.8028,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,1
"1060",1614,3,2.1227,0,0,0,0,0,0,0,0,0,1,0,1,0,1060,1
"1061",1616,3,1.5189,1,0,0,0,0,0,0,0,0,0,0,0,1,1061,3
"1062",1618,2,0.8488,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1
"1063",1619,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,1
"1064",1620,2,0.9355,0,1,0,0,0,1,1,1,1,1,0,0,1,1064,4
"1065",1621,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,1
"1066",1622,4,0.759526474,0,0,0,0,0,0,0,0,0,0,0,0,1,1066,1
"1067",1624,3,0.6798,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,1
"1068",1625,4,1.477126717,0,0,0,0,0,1,1,1,0,1,0,0,0,1068,1
"1069",1626,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,1
"1070",1627,4,0.577361825,0,0,0,0,0,0,0,0,0,0,0,0,0,1070,1
"1071",1629,3,0.7051,0,0,1,1,1,0,1,0,1,1,0,0,0,1071,2
"1072",1630,3,0.7835,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,1
"1073",1636,3,0.6798,0,0,0,0,0,0,0,1,0,0,0,0,0,1073,1
"1074",1638,2,0.7009,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,1
"1075",1640,3,0.6695,1,0,0,0,0,1,0,1,1,0,1,0,0,1075,3
"1076",1641,3,0.7835,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,1
"1077",1644,3,1.5189,1,0,0,0,0,0,0,0,0,0,0,0,0,1077,3
"1078",1647,3,1.6592,1,1,0,1,0,0,0,1,0,0,1,1,1,1078,4
"1079",1648,3,0.6411,0,0,0,0,0,0,1,1,1,1,0,0,1,1079,1
"1080",1649,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,1
"1081",1650,3,0.7835,0,0,0,0,0,0,1,1,1,1,0,0,0,1081,1
"1082",1651,3,1.395,1,0,0,0,0,0,0,0,0,0,0,0,0,1082,3
"1083",1652,2,0.9355,0,0,0,0,0,0,1,1,1,1,0,1,0,1083,1
"1084",1653,2,1.1589,1,1,0,1,0,0,0,0,0,0,0,0,1,1084,4
"1085",1655,3,1.9541,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,1
"1086",1657,3,1.916,0,0,0,0,0,0,1,1,0,1,0,0,0,1086,1
"1087",1658,3,0.7103,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,1
"1088",1660,3,1.916,0,0,0,0,0,0,1,1,1,1,0,0,0,1088,1
"1089",1662,3,1.771,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,1
"1090",1664,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,1
"1091",1666,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,1
"1092",1667,2,0.7923,1,0,0,0,0,1,0,0,0,0,0,0,0,1092,3
"1093",1672,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,1
"1094",1674,3,0.6798,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,1
"1095",1676,3,1.771,1,0,0,0,0,0,0,0,0,1,0,0,1,1095,3
"1096",1679,4,0.772235272,0,0,0,0,0,0,1,0,1,1,0,0,0,1096,1
"1097",1680,2,0.9598,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,1
"1098",1682,2,1.3372,1,0,0,0,1,0,0,0,0,0,0,0,0,1098,5
"1099",1683,3,0.9227,1,1,1,0,1,0,1,1,1,1,0,1,1,1099,2
"1100",1684,3,1.5914,0,0,0,0,0,0,0,0,1,0,0,0,0,1100,1
"1101",1685,2,0.9598,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,1
"1102",1686,1,1.3158,0,1,0,0,0,0,0,0,0,0,0,0,1,1102,4
"1103",1688,2,1.6295,0,0,0,0,0,0,1,1,1,1,0,1,0,1103,1
"1104",1689,3,0.8663,0,0,0,0,0,0,0,0,0,1,0,0,0,1104,1
"1105",1690,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,1
"1106",1691,2,0.5832,0,0,0,0,0,0,0,0,0,0,0,1,1,1106,1
"1107",1692,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,1
"1108",1695,3,0.8663,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,1
"1109",1696,2,0.8488,0,0,0,0,0,0,0,0,0,0,0,0,1,1109,1
"1110",1697,3,0.8028,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,1
"1111",1698,2,0.7923,0,0,1,0,1,0,0,0,0,0,0,0,0,1111,2
"1112",1701,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,1
"1113",1704,3,1.916,0,0,0,0,0,0,1,1,1,1,0,0,1,1113,1
"1114",1705,2,0.7009,0,0,0,0,0,0,0,0,1,0,0,0,0,1114,1
"1115",1711,2,1.6295,0,0,0,0,0,0,0,0,0,1,0,1,1,1115,1
"1116",1714,2,1.4057,0,0,0,0,0,0,1,1,0,1,1,0,0,1116,1
"1117",1715,1,0.9082,0,1,0,0,1,0,1,1,1,1,1,1,1,1117,4
"1118",1716,2,1.5475,1,0,1,1,1,0,0,0,0,0,0,1,0,1118,2
"1119",1719,2,1.2488,0,0,0,0,0,0,1,1,1,1,0,0,0,1119,1
"1120",1721,3,0.971,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,1
"1121",1722,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,1
"1122",1723,2,1.9003,0,0,0,0,0,0,0,0,0,1,0,1,0,1122,1
"1123",1724,3,0.6695,1,0,0,0,0,1,1,1,0,1,1,1,0,1123,3
"1124",1725,3,0.7672,0,0,0,1,0,0,0,0,0,0,0,1,1,1124,5
"1125",1726,2,0.9598,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,1
"1126",1727,3,0.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,1
"1127",1729,3,0.7835,0,0,0,0,0,1,0,0,0,0,0,0,0,1127,1
"1128",1731,3,0.966,1,0,0,0,0,0,0,0,0,0,0,0,0,1128,3
"1129",1732,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1129,1
"1130",1733,2,1.5475,1,0,1,1,0,0,1,1,0,1,1,0,1,1130,2
"1131",1734,3,0.7998,1,0,0,0,0,1,0,0,0,0,0,0,0,1131,3
"1132",1735,4,0.902367157,1,1,1,0,1,0,0,0,0,0,0,1,1,1132,2
"1133",1736,3,0.8028,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,1
"1134",1737,3,0.6798,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,1
"1135",1739,3,0.8028,0,0,0,0,0,0,0,0,1,0,0,0,0,1135,1
"1136",1741,2,1.6295,0,0,0,0,0,0,1,1,0,1,0,0,1,1136,1
